"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7178","User can add new article","webkit","Tue Mar 25 19:18:56 GMT 2025","passed","Tue Mar 25 19:19:04 GMT 2025","User actions with articles","ArticleActions.spec.js","",""
"","956","Test Authentication","firefox","Tue Mar 25 19:18:52 GMT 2025","passed","Tue Mar 25 19:18:53 GMT 2025","Actions with user","AuthUser.spec.js","",""
"","3009","User can add new comment in article","webkit","Tue Mar 25 19:19:07 GMT 2025","passed","Tue Mar 25 19:19:10 GMT 2025","User actions with articles","ArticleActions.spec.js","",""
"","1406","User can add new article","chromium","Tue Mar 25 19:16:51 GMT 2025","passed","Tue Mar 25 19:16:52 GMT 2025","User actions with articles","ArticleActions.spec.js","",""
"","3627","User can add new article","firefox","Tue Mar 25 19:18:42 GMT 2025","passed","Tue Mar 25 19:18:45 GMT 2025","User actions with articles","ArticleActions.spec.js","",""
"","1427","Test Authentication","webkit","Tue Mar 25 19:19:10 GMT 2025","passed","Tue Mar 25 19:19:12 GMT 2025","Actions with user","AuthUser.spec.js","",""
"","746","Test Authentication","chromium","Tue Mar 25 19:16:58 GMT 2025","passed","Tue Mar 25 19:16:58 GMT 2025","Actions with user","AuthUser.spec.js","",""
"","2793","Test Authentication","webkit","Tue Mar 25 19:20:04 GMT 2025","passed","Tue Mar 25 19:20:06 GMT 2025","Actions with user","AuthUser.spec.js","",""
"","1041","Test Authentication","firefox","Tue Mar 25 19:18:51 GMT 2025","passed","Tue Mar 25 19:18:52 GMT 2025","Actions with user","AuthUser.spec.js","",""
"","1754","Test Authentication","firefox","Tue Mar 25 19:18:53 GMT 2025","passed","Tue Mar 25 19:18:55 GMT 2025","Actions with user","AuthUser.spec.js","",""
"","621","Test Authentication","chromium","Tue Mar 25 19:16:57 GMT 2025","passed","Tue Mar 25 19:16:58 GMT 2025","Actions with user","AuthUser.spec.js","",""
"","2283","User can add new comment in article","chromium","Tue Mar 25 19:16:54 GMT 2025","passed","Tue Mar 25 19:16:57 GMT 2025","User actions with articles","ArticleActions.spec.js","",""
"","1397","Test Authentication","webkit","Tue Mar 25 19:19:12 GMT 2025","passed","Tue Mar 25 19:19:13 GMT 2025","Actions with user","AuthUser.spec.js","",""
"","1016","Test Authentication","chromium","Tue Mar 25 19:18:40 GMT 2025","passed","Tue Mar 25 19:18:41 GMT 2025","Actions with user","AuthUser.spec.js","",""
"","2336","User can add new comment in article","firefox","Tue Mar 25 19:18:49 GMT 2025","passed","Tue Mar 25 19:18:51 GMT 2025","User actions with articles","ArticleActions.spec.js","",""
